Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
SUPERFINE,NAUTI006.15m-26,Solarelle Extra Wide Plank,Solarelle,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Super Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI007,Triton Extra Wide Plank,Triton,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI007.15m-22,Triton Extra Wide Plank,Triton,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI007.15m-26,Triton Extra Wide Plank,Triton,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI010,Tugalia Extra Wide Plank,Tugalia,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI010.15m-22,Tugalia Extra Wide Plank,Tugalia,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI010.15m-26,Tugalia Extra Wide Plank,Tugalia,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI002,Velutina Extra Wide Plank,Velutina,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI002.15m-22,Velutina Extra Wide Plank,Velutina,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI002.15m-26,Velutina Extra Wide Plank,Velutina,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
